"plot_name","trait","value","timestamp","person","location","number"
"21MC010024CUNA03_00102_1_BayouBelle_G2","Number of plants harvested per NET plot|CO_331:0000679","20","2021-11-01 11:01:46","Russell","HCR","1"
"21MC010024CUNA03_00102_1_BayouBelle_G2","Number of storage roots after harvest per NET plot|CO_331:0000233","45","2021-11-01 11:01:46","Russell","HCR","1"
"21MC010024CUNA03_00102_1_BayouBelle_G2","Number of non-commercial storage roots per NET plot|CO_331:0000217","3","2021-11-01 11:01:46","Russell","HCR","1"
"21MC010024CUNA03_00102_1_BayouBelle_G2","Number of commercial storage roots per NET plot|CO_331:0000214","42","2021-11-01 11:01:46","Russell","HCR","1"
"21MC010024CUNA03_00102_1_BayouBelle_G2","Length to diameter ratio computation|CO_331:0000779","2.16","2021-11-01 11:01:46","Russell","HCR","1"
"21MC010024CUNA03_00102_1_BayouBelle_G2","Total storage root weight per NET plot in kg|CO_331:0000237","13.42","2021-11-01 11:01:46","Russell","HCR","1"
"21MC010024CUNA03_00102_1_BayouBelle_G2","Weight of cull storage roots measuring kg per plot|CO_331:0000612","0.58","2021-11-01 11:01:46","Russell","HCR","1"
"21MC010024CUNA03_00102_1_BayouBelle_G2","Weight of canner storage roots measuring kg per plot|CO_331:0000610","1.4","2021-11-01 11:01:46","Russell","HCR","1"
"21MC010024CUNA03_00102_1_BayouBelle_G2","Weight of total US no. 1 storage roots measuring kg per plot|CO_331:0000609","8.76","2021-11-01 11:01:46","Russell","HCR","1"
"21MC010024CUNA03_00102_1_BayouBelle_G2","Weight of 32 count US no. 1 storage roots measuring kg per plot|CO_331:0000616","2.3","2021-11-01 11:01:46","Russell","HCR","1"
"21MC010024CUNA03_00102_1_BayouBelle_G2","Weight of 40 count US no. 1 storage roots measuring kg per plot|CO_331:0000615","2.34","2021-11-01 11:01:46","Russell","HCR","1"
"21MC010024CUNA03_00102_1_BayouBelle_G2","Weight of 55 count US no. 1 storage roots measuring kg per plot|CO_331:0000614","2.47","2021-11-01 11:01:46","Russell","HCR","1"
"21MC010024CUNA03_00102_1_BayouBelle_G2","Weight of 90 count US no. 1 storage roots measuring kg per plot|CO_331:0000613","1.65","2021-11-01 11:01:46","Russell","HCR","1"
"21MC010024CUNA03_00102_1_BayouBelle_G2","Weight of jumbo storage roots measuring kg per plot|CO_331:0000611","2.28","2021-11-01 11:01:46","Russell","HCR","1"
"21MC010024CUNA03_00102_1_BayouBelle_G2","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","12.84","2021-11-01 11:01:46","Russell","HCR","1"
"21MC010024CUNA03_00102_1_BayouBelle_G2","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","0.58","2021-11-01 11:01:46","Russell","HCR","1"
"21MC010024CUNA03_00102_1_BayouBelle_G2","Percentage of commercial storage root|CO_331:0000682","95.67","2021-11-01 11:01:46","Russell","HCR","1"
"21MC010024CUNA03_00202_1_MC14-0377_AM2_G2","Number of plants harvested per NET plot|CO_331:0000679","20","2021-11-01 11:20:14","Russell","HCR","1"
"21MC010024CUNA03_00202_1_MC14-0377_AM2_G2","Number of storage roots after harvest per NET plot|CO_331:0000233","48","2021-11-01 11:20:14","Russell","HCR","1"
"21MC010024CUNA03_00202_1_MC14-0377_AM2_G2","Number of non-commercial storage roots per NET plot|CO_331:0000217","3","2021-11-01 11:20:14","Russell","HCR","1"
"21MC010024CUNA03_00202_1_MC14-0377_AM2_G2","Number of commercial storage roots per NET plot|CO_331:0000214","45","2021-11-01 11:20:14","Russell","HCR","1"
"21MC010024CUNA03_00202_1_MC14-0377_AM2_G2","Length to diameter ratio computation|CO_331:0000779","2.02","2021-11-01 11:20:14","Russell","HCR","1"
"21MC010024CUNA03_00202_1_MC14-0377_AM2_G2","Total storage root weight per NET plot in kg|CO_331:0000237","11.86","2021-11-01 11:20:14","Russell","HCR","1"
"21MC010024CUNA03_00202_1_MC14-0377_AM2_G2","Weight of cull storage roots measuring kg per plot|CO_331:0000612","1.26","2021-11-01 11:20:14","Russell","HCR","1"
"21MC010024CUNA03_00202_1_MC14-0377_AM2_G2","Weight of canner storage roots measuring kg per plot|CO_331:0000610","2.03","2021-11-01 11:20:14","Russell","HCR","1"
"21MC010024CUNA03_00202_1_MC14-0377_AM2_G2","Weight of total US no. 1 storage roots measuring kg per plot|CO_331:0000609","5.99","2021-11-01 11:20:14","Russell","HCR","1"
"21MC010024CUNA03_00202_1_MC14-0377_AM2_G2","Weight of 32 count US no. 1 storage roots measuring kg per plot|CO_331:0000616","0.52","2021-11-01 11:20:14","Russell","HCR","1"
"21MC010024CUNA03_00202_1_MC14-0377_AM2_G2","Weight of 40 count US no. 1 storage roots measuring kg per plot|CO_331:0000615","1.36","2021-11-01 11:20:14","Russell","HCR","1"
"21MC010024CUNA03_00202_1_MC14-0377_AM2_G2","Weight of 55 count US no. 1 storage roots measuring kg per plot|CO_331:0000614","1.21","2021-11-01 11:20:14","Russell","HCR","1"
"21MC010024CUNA03_00202_1_MC14-0377_AM2_G2","Weight of 90 count US no. 1 storage roots measuring kg per plot|CO_331:0000613","2.9","2021-11-01 11:20:14","Russell","HCR","1"
"21MC010024CUNA03_00202_1_MC14-0377_AM2_G2","Weight of jumbo storage roots measuring kg per plot|CO_331:0000611","2.59","2021-11-01 11:20:14","Russell","HCR","1"
"21MC010024CUNA03_00202_1_MC14-0377_AM2_G2","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","10.61","2021-11-01 11:20:14","Russell","HCR","1"
"21MC010024CUNA03_00202_1_MC14-0377_AM2_G2","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","1.26","2021-11-01 11:20:14","Russell","HCR","1"
"21MC010024CUNA03_00202_1_MC14-0377_AM2_G2","Percentage of commercial storage root|CO_331:0000682","89.41","2021-11-01 11:20:14","Russell","HCR","1"
"21MC010024CUNA03_01107_4_MC18-0162","Number of plants harvested per NET plot|CO_331:0000679","20","2021-11-01 11:22:20","Russell","HCR","1"
"21MC010024CUNA03_01107_4_MC18-0162","Number of storage roots after harvest per NET plot|CO_331:0000233","42","2021-11-01 11:22:20","Russell","HCR","1"
"21MC010024CUNA03_01107_4_MC18-0162","Number of non-commercial storage roots per NET plot|CO_331:0000217","4","2021-11-01 11:22:20","Russell","HCR","1"
"21MC010024CUNA03_01107_4_MC18-0162","Number of commercial storage roots per NET plot|CO_331:0000214","38","2021-11-01 11:22:20","Russell","HCR","1"
"21MC010024CUNA03_01107_4_MC18-0162","Length to diameter ratio computation|CO_331:0000779","2.03","2021-11-01 11:22:20","Russell","HCR","1"
"21MC010024CUNA03_01107_4_MC18-0162","Total storage root weight per NET plot in kg|CO_331:0000237","12.73","2021-11-01 11:22:20","Russell","HCR","1"
"21MC010024CUNA03_01107_4_MC18-0162","Weight of cull storage roots measuring kg per plot|CO_331:0000612","1.1","2021-11-01 11:22:20","Russell","HCR","1"
"21MC010024CUNA03_01107_4_MC18-0162","Weight of canner storage roots measuring kg per plot|CO_331:0000610","1.55","2021-11-01 11:22:20","Russell","HCR","1"
"21MC010024CUNA03_01107_4_MC18-0162","Weight of total US no. 1 storage roots measuring kg per plot|CO_331:0000609","5.2","2021-11-01 11:22:20","Russell","HCR","1"
"21MC010024CUNA03_01107_4_MC18-0162","Weight of 32 count US no. 1 storage roots measuring kg per plot|CO_331:0000616","1.06","2021-11-01 11:22:20","Russell","HCR","1"
"21MC010024CUNA03_01107_4_MC18-0162","Weight of 40 count US no. 1 storage roots measuring kg per plot|CO_331:0000615","1.79","2021-11-01 11:22:20","Russell","HCR","1"
"21MC010024CUNA03_01107_4_MC18-0162","Weight of 55 count US no. 1 storage roots measuring kg per plot|CO_331:0000614","0.61","2021-11-01 11:22:20","Russell","HCR","1"
"21MC010024CUNA03_01107_4_MC18-0162","Weight of 90 count US no. 1 storage roots measuring kg per plot|CO_331:0000613","1.73","2021-11-01 11:22:20","Russell","HCR","1"
"21MC010024CUNA03_01107_4_MC18-0162","Weight of jumbo storage roots measuring kg per plot|CO_331:0000611","4.88","2021-11-01 11:22:20","Russell","HCR","1"
"21MC010024CUNA03_01107_4_MC18-0162","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","11.63","2021-11-01 11:22:20","Russell","HCR","1"
"21MC010024CUNA03_01107_4_MC18-0162","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","1.1","2021-11-01 11:22:20","Russell","HCR","1"
"21MC010024CUNA03_01107_4_MC18-0162","Percentage of commercial storage root|CO_331:0000682","91.36","2021-11-01 11:22:20","Russell","HCR","1"
"21MC010024CUNA03_00301_1_MC18-0163","Number of plants harvested per NET plot|CO_331:0000679","20","2021-11-01 11:24:13","Russell","HCR","1"
"21MC010024CUNA03_00301_1_MC18-0163","Number of storage roots after harvest per NET plot|CO_331:0000233","40","2021-11-01 11:24:13","Russell","HCR","1"
"21MC010024CUNA03_00301_1_MC18-0163","Number of non-commercial storage roots per NET plot|CO_331:0000217","2","2021-11-01 11:24:13","Russell","HCR","1"
"21MC010024CUNA03_00301_1_MC18-0163","Number of commercial storage roots per NET plot|CO_331:0000214","38","2021-11-01 11:24:13","Russell","HCR","1"
"21MC010024CUNA03_00301_1_MC18-0163","Length to diameter ratio computation|CO_331:0000779","1.98","2021-11-01 11:24:13","Russell","HCR","1"
"21MC010024CUNA03_00301_1_MC18-0163","Total storage root weight per NET plot in kg|CO_331:0000237","8.82","2021-11-01 11:24:13","Russell","HCR","1"
"21MC010024CUNA03_00301_1_MC18-0163","Weight of cull storage roots measuring kg per plot|CO_331:0000612","0.44","2021-11-01 11:24:13","Russell","HCR","1"
"21MC010024CUNA03_00301_1_MC18-0163","Weight of canner storage roots measuring kg per plot|CO_331:0000610","1.79","2021-11-01 11:24:13","Russell","HCR","1"
"21MC010024CUNA03_00301_1_MC18-0163","Weight of total US no. 1 storage roots measuring kg per plot|CO_331:0000609","5.74","2021-11-01 11:24:13","Russell","HCR","1"
"21MC010024CUNA03_00301_1_MC18-0163","Weight of 32 count US no. 1 storage roots measuring kg per plot|CO_331:0000616","1.18","2021-11-01 11:24:13","Russell","HCR","1"
"21MC010024CUNA03_00301_1_MC18-0163","Weight of 40 count US no. 1 storage roots measuring kg per plot|CO_331:0000615","1.4","2021-11-01 11:24:13","Russell","HCR","1"
"21MC010024CUNA03_00301_1_MC18-0163","Weight of 55 count US no. 1 storage roots measuring kg per plot|CO_331:0000614","1.82","2021-11-01 11:24:13","Russell","HCR","1"
"21MC010024CUNA03_00301_1_MC18-0163","Weight of 90 count US no. 1 storage roots measuring kg per plot|CO_331:0000613","1.34","2021-11-01 11:24:13","Russell","HCR","1"
"21MC010024CUNA03_00301_1_MC18-0163","Weight of jumbo storage roots measuring kg per plot|CO_331:0000611","0.67","2021-11-01 11:24:13","Russell","HCR","1"
"21MC010024CUNA03_00301_1_MC18-0163","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","8.38","2021-11-01 11:24:13","Russell","HCR","1"
"21MC010024CUNA03_00301_1_MC18-0163","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","0.44","2021-11-01 11:24:13","Russell","HCR","1"
"21MC010024CUNA03_00301_1_MC18-0163","Percentage of commercial storage root|CO_331:0000682","95.05","2021-11-01 11:24:13","Russell","HCR","1"
"21MC010024CUNA03_00205_3_MC15-0644","Number of plants harvested per NET plot|CO_331:0000679","20","2021-11-01 11:25:41","Russell","HCR","1"
"21MC010024CUNA03_00205_3_MC15-0644","Number of storage roots after harvest per NET plot|CO_331:0000233","31","2021-11-01 11:25:41","Russell","HCR","1"
"21MC010024CUNA03_00205_3_MC15-0644","Number of non-commercial storage roots per NET plot|CO_331:0000217","1","2021-11-01 11:25:41","Russell","HCR","1"
"21MC010024CUNA03_00205_3_MC15-0644","Number of commercial storage roots per NET plot|CO_331:0000214","30","2021-11-01 11:25:41","Russell","HCR","1"
"21MC010024CUNA03_00205_3_MC15-0644","Length to diameter ratio computation|CO_331:0000779","1.96","2021-11-01 11:25:41","Russell","HCR","1"
"21MC010024CUNA03_00205_3_MC15-0644","Total storage root weight per NET plot in kg|CO_331:0000237","6.89","2021-11-01 11:25:41","Russell","HCR","1"
"21MC010024CUNA03_00205_3_MC15-0644","Weight of cull storage roots measuring kg per plot|CO_331:0000612","0.2","2021-11-01 11:25:41","Russell","HCR","1"
"21MC010024CUNA03_00205_3_MC15-0644","Weight of canner storage roots measuring kg per plot|CO_331:0000610","0.98","2021-11-01 11:25:41","Russell","HCR","1"
"21MC010024CUNA03_00205_3_MC15-0644","Weight of total US no. 1 storage roots measuring kg per plot|CO_331:0000609","5.07","2021-11-01 11:25:41","Russell","HCR","1"
"21MC010024CUNA03_00205_3_MC15-0644","Weight of 32 count US no. 1 storage roots measuring kg per plot|CO_331:0000616","0","2021-11-01 11:25:41","Russell","HCR","1"
"21MC010024CUNA03_00205_3_MC15-0644","Weight of 40 count US no. 1 storage roots measuring kg per plot|CO_331:0000615","0.41","2021-11-01 11:25:41","Russell","HCR","1"
"21MC010024CUNA03_00205_3_MC15-0644","Weight of 55 count US no. 1 storage roots measuring kg per plot|CO_331:0000614","2.64","2021-11-01 11:25:41","Russell","HCR","1"
"21MC010024CUNA03_00205_3_MC15-0644","Weight of 90 count US no. 1 storage roots measuring kg per plot|CO_331:0000613","2.03","2021-11-01 11:25:41","Russell","HCR","1"
"21MC010024CUNA03_00205_3_MC15-0644","Weight of jumbo storage roots measuring kg per plot|CO_331:0000611","0","2021-11-01 11:25:41","Russell","HCR","1"
"21MC010024CUNA03_00205_3_MC15-0644","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","6.69","2021-11-01 11:25:41","Russell","HCR","1"
"21MC010024CUNA03_00205_3_MC15-0644","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","0.2","2021-11-01 11:25:41","Russell","HCR","1"
"21MC010024CUNA03_00205_3_MC15-0644","Percentage of commercial storage root|CO_331:0000682","97.04","2021-11-01 11:25:41","Russell","HCR","1"
"21MC010024CUNA03_00808_4_MC18-0163","Number of plants harvested per NET plot|CO_331:0000679","20","2021-11-01 11:27:38","Russell","HCR","1"
"21MC010024CUNA03_00808_4_MC18-0163","Number of storage roots after harvest per NET plot|CO_331:0000233","40","2021-11-01 11:27:38","Russell","HCR","1"
"21MC010024CUNA03_00808_4_MC18-0163","Number of non-commercial storage roots per NET plot|CO_331:0000217","3","2021-11-01 11:27:38","Russell","HCR","1"
"21MC010024CUNA03_00808_4_MC18-0163","Number of commercial storage roots per NET plot|CO_331:0000214","37","2021-11-01 11:27:38","Russell","HCR","1"
"21MC010024CUNA03_00808_4_MC18-0163","Length to diameter ratio computation|CO_331:0000779","1.95","2021-11-01 11:27:38","Russell","HCR","1"
"21MC010024CUNA03_00808_4_MC18-0163","Total storage root weight per NET plot in kg|CO_331:0000237","8.81","2021-11-01 11:27:38","Russell","HCR","1"
"21MC010024CUNA03_00808_4_MC18-0163","Weight of cull storage roots measuring kg per plot|CO_331:0000612","0.79","2021-11-01 11:27:38","Russell","HCR","1"
"21MC010024CUNA03_00808_4_MC18-0163","Weight of canner storage roots measuring kg per plot|CO_331:0000610","1.17","2021-11-01 11:27:38","Russell","HCR","1"
"21MC010024CUNA03_00808_4_MC18-0163","Weight of total US no. 1 storage roots measuring kg per plot|CO_331:0000609","5.47","2021-11-01 11:27:38","Russell","HCR","1"
"21MC010024CUNA03_00808_4_MC18-0163","Weight of 32 count US no. 1 storage roots measuring kg per plot|CO_331:0000616","1.11","2021-11-01 11:27:38","Russell","HCR","1"
"21MC010024CUNA03_00808_4_MC18-0163","Weight of 40 count US no. 1 storage roots measuring kg per plot|CO_331:0000615","0.49","2021-11-01 11:27:38","Russell","HCR","1"
"21MC010024CUNA03_00808_4_MC18-0163","Weight of 55 count US no. 1 storage roots measuring kg per plot|CO_331:0000614","2.38","2021-11-01 11:27:38","Russell","HCR","1"
"21MC010024CUNA03_00808_4_MC18-0163","Weight of 90 count US no. 1 storage roots measuring kg per plot|CO_331:0000613","1.49","2021-11-01 11:27:38","Russell","HCR","1"
"21MC010024CUNA03_00808_4_MC18-0163","Weight of jumbo storage roots measuring kg per plot|CO_331:0000611","1.03","2021-11-01 11:27:38","Russell","HCR","1"
"21MC010024CUNA03_00808_4_MC18-0163","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","8.03","2021-11-01 11:27:38","Russell","HCR","1"
"21MC010024CUNA03_00808_4_MC18-0163","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","0.79","2021-11-01 11:27:38","Russell","HCR","1"
"21MC010024CUNA03_00808_4_MC18-0163","Percentage of commercial storage root|CO_331:0000682","91.09","2021-11-01 11:27:38","Russell","HCR","1"
"21MC010024CUNA03_01008_4_MC14-0377_AM2_G2","Number of plants harvested per NET plot|CO_331:0000679","20","2021-11-01 11:30:04","Russell","HCR","1"
"21MC010024CUNA03_01008_4_MC14-0377_AM2_G2","Number of storage roots after harvest per NET plot|CO_331:0000233","54","2021-11-01 11:30:04","Russell","HCR","1"
"21MC010024CUNA03_01008_4_MC14-0377_AM2_G2","Number of non-commercial storage roots per NET plot|CO_331:0000217","5","2021-11-01 11:30:04","Russell","HCR","1"
"21MC010024CUNA03_01008_4_MC14-0377_AM2_G2","Number of commercial storage roots per NET plot|CO_331:0000214","49","2021-11-01 11:30:04","Russell","HCR","1"
"21MC010024CUNA03_01008_4_MC14-0377_AM2_G2","Length to diameter ratio computation|CO_331:0000779","1.88","2021-11-01 11:30:04","Russell","HCR","1"
"21MC010024CUNA03_01008_4_MC14-0377_AM2_G2","Total storage root weight per NET plot in kg|CO_331:0000237","10.57","2021-11-01 11:30:04","Russell","HCR","1"
"21MC010024CUNA03_01008_4_MC14-0377_AM2_G2","Weight of cull storage roots measuring kg per plot|CO_331:0000612","1.28","2021-11-01 11:30:04","Russell","HCR","1"
"21MC010024CUNA03_01008_4_MC14-0377_AM2_G2","Weight of canner storage roots measuring kg per plot|CO_331:0000610","2","2021-11-01 11:30:04","Russell","HCR","1"
"21MC010024CUNA03_01008_4_MC14-0377_AM2_G2","Weight of total US no. 1 storage roots measuring kg per plot|CO_331:0000609","4.87","2021-11-01 11:30:04","Russell","HCR","1"
"21MC010024CUNA03_01008_4_MC14-0377_AM2_G2","Weight of 32 count US no. 1 storage roots measuring kg per plot|CO_331:0000616","0","2021-11-01 11:30:04","Russell","HCR","1"
"21MC010024CUNA03_01008_4_MC14-0377_AM2_G2","Weight of 40 count US no. 1 storage roots measuring kg per plot|CO_331:0000615","1.42","2021-11-01 11:30:04","Russell","HCR","1"
"21MC010024CUNA03_01008_4_MC14-0377_AM2_G2","Weight of 55 count US no. 1 storage roots measuring kg per plot|CO_331:0000614","1.7","2021-11-01 11:30:04","Russell","HCR","1"
"21MC010024CUNA03_01008_4_MC14-0377_AM2_G2","Weight of 90 count US no. 1 storage roots measuring kg per plot|CO_331:0000613","1.75","2021-11-01 11:30:04","Russell","HCR","1"
"21MC010024CUNA03_01008_4_MC14-0377_AM2_G2","Weight of jumbo storage roots measuring kg per plot|CO_331:0000611","1.89","2021-11-01 11:30:04","Russell","HCR","1"
"21MC010024CUNA03_01008_4_MC14-0377_AM2_G2","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","9.29","2021-11-01 11:30:04","Russell","HCR","1"
"21MC010024CUNA03_01008_4_MC14-0377_AM2_G2","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","1.28","2021-11-01 11:30:04","Russell","HCR","1"
"21MC010024CUNA03_01008_4_MC14-0377_AM2_G2","Percentage of commercial storage root|CO_331:0000682","87.88","2021-11-01 11:30:04","Russell","HCR","1"
"21MC010024CUNA03_00101_1_MC14-0363_M4-5_G2","Number of plants harvested per NET plot|CO_331:0000679","20","2021-11-01 11:31:33","Russell","HCR","1"
"21MC010024CUNA03_00101_1_MC14-0363_M4-5_G2","Number of storage roots after harvest per NET plot|CO_331:0000233","30","2021-11-01 11:31:33","Russell","HCR","1"
"21MC010024CUNA03_00101_1_MC14-0363_M4-5_G2","Number of non-commercial storage roots per NET plot|CO_331:0000217","5","2021-11-01 11:31:33","Russell","HCR","1"
"21MC010024CUNA03_00101_1_MC14-0363_M4-5_G2","Number of commercial storage roots per NET plot|CO_331:0000214","25","2021-11-01 11:31:33","Russell","HCR","1"
"21MC010024CUNA03_00101_1_MC14-0363_M4-5_G2","Length to diameter ratio computation|CO_331:0000779","2.31","2021-11-01 11:31:33","Russell","HCR","1"
"21MC010024CUNA03_00101_1_MC14-0363_M4-5_G2","Total storage root weight per NET plot in kg|CO_331:0000237","8.28","2021-11-01 11:31:33","Russell","HCR","1"
"21MC010024CUNA03_00101_1_MC14-0363_M4-5_G2","Weight of cull storage roots measuring kg per plot|CO_331:0000612","1.51","2021-11-01 11:31:33","Russell","HCR","1"
"21MC010024CUNA03_00101_1_MC14-0363_M4-5_G2","Weight of canner storage roots measuring kg per plot|CO_331:0000610","0.86","2021-11-01 11:31:33","Russell","HCR","1"
"21MC010024CUNA03_00101_1_MC14-0363_M4-5_G2","Weight of total US no. 1 storage roots measuring kg per plot|CO_331:0000609","3.24","2021-11-01 11:31:33","Russell","HCR","1"
"21MC010024CUNA03_00101_1_MC14-0363_M4-5_G2","Weight of 32 count US no. 1 storage roots measuring kg per plot|CO_331:0000616","1.16","2021-11-01 11:31:33","Russell","HCR","1"
"21MC010024CUNA03_00101_1_MC14-0363_M4-5_G2","Weight of 40 count US no. 1 storage roots measuring kg per plot|CO_331:0000615","0","2021-11-01 11:31:33","Russell","HCR","1"
"21MC010024CUNA03_00101_1_MC14-0363_M4-5_G2","Weight of 55 count US no. 1 storage roots measuring kg per plot|CO_331:0000614","0.58","2021-11-01 11:31:33","Russell","HCR","1"
"21MC010024CUNA03_00101_1_MC14-0363_M4-5_G2","Weight of 90 count US no. 1 storage roots measuring kg per plot|CO_331:0000613","1.51","2021-11-01 11:31:33","Russell","HCR","1"
"21MC010024CUNA03_00101_1_MC14-0363_M4-5_G2","Weight of jumbo storage roots measuring kg per plot|CO_331:0000611","1.33","2021-11-01 11:31:33","Russell","HCR","1"
"21MC010024CUNA03_00101_1_MC14-0363_M4-5_G2","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","6.76","2021-11-01 11:31:33","Russell","HCR","1"
"21MC010024CUNA03_00101_1_MC14-0363_M4-5_G2","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","1.51","2021-11-01 11:31:33","Russell","HCR","1"
"21MC010024CUNA03_00101_1_MC14-0363_M4-5_G2","Percentage of commercial storage root|CO_331:0000682","81.71","2021-11-01 11:31:33","Russell","HCR","1"
"21MC010024CUNA03_00104_2_MC18-0206","Number of plants harvested per NET plot|CO_331:0000679","20","2021-11-01 11:33:07","Russell","HCR","1"
"21MC010024CUNA03_00104_2_MC18-0206","Number of storage roots after harvest per NET plot|CO_331:0000233","30","2021-11-01 11:33:07","Russell","HCR","1"
"21MC010024CUNA03_00104_2_MC18-0206","Number of non-commercial storage roots per NET plot|CO_331:0000217","3","2021-11-01 11:33:07","Russell","HCR","1"
"21MC010024CUNA03_00104_2_MC18-0206","Number of commercial storage roots per NET plot|CO_331:0000214","27","2021-11-01 11:33:07","Russell","HCR","1"
"21MC010024CUNA03_00104_2_MC18-0206","Length to diameter ratio computation|CO_331:0000779","2.2","2021-11-01 11:33:07","Russell","HCR","1"
"21MC010024CUNA03_00104_2_MC18-0206","Total storage root weight per NET plot in kg|CO_331:0000237","7.65","2021-11-01 11:33:07","Russell","HCR","1"
"21MC010024CUNA03_00104_2_MC18-0206","Weight of cull storage roots measuring kg per plot|CO_331:0000612","0.64","2021-11-01 11:33:07","Russell","HCR","1"
"21MC010024CUNA03_00104_2_MC18-0206","Weight of canner storage roots measuring kg per plot|CO_331:0000610","1.22","2021-11-01 11:33:07","Russell","HCR","1"
"21MC010024CUNA03_00104_2_MC18-0206","Weight of total US no. 1 storage roots measuring kg per plot|CO_331:0000609","4.65","2021-11-01 11:33:07","Russell","HCR","1"
"21MC010024CUNA03_00104_2_MC18-0206","Weight of 32 count US no. 1 storage roots measuring kg per plot|CO_331:0000616","1.2","2021-11-01 11:33:07","Russell","HCR","1"
"21MC010024CUNA03_00104_2_MC18-0206","Weight of 40 count US no. 1 storage roots measuring kg per plot|CO_331:0000615","1.4","2021-11-01 11:33:07","Russell","HCR","1"
"21MC010024CUNA03_00104_2_MC18-0206","Weight of 55 count US no. 1 storage roots measuring kg per plot|CO_331:0000614","0.76","2021-11-01 11:33:07","Russell","HCR","1"
"21MC010024CUNA03_00104_2_MC18-0206","Weight of 90 count US no. 1 storage roots measuring kg per plot|CO_331:0000613","1.29","2021-11-01 11:33:07","Russell","HCR","1"
"21MC010024CUNA03_00104_2_MC18-0206","Weight of jumbo storage roots measuring kg per plot|CO_331:0000611","1.13","2021-11-01 11:33:07","Russell","HCR","1"
"21MC010024CUNA03_00104_2_MC18-0206","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","7.01","2021-11-01 11:33:07","Russell","HCR","1"
"21MC010024CUNA03_00104_2_MC18-0206","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","0.64","2021-11-01 11:33:07","Russell","HCR","1"
"21MC010024CUNA03_00104_2_MC18-0206","Percentage of commercial storage root|CO_331:0000682","91.62","2021-11-01 11:33:07","Russell","HCR","1"
